col,zero_frac
internal_out_cnt,0.9844888049094942
internal_in_cnt,0.98052039339754227
tx_fee_eth_sum,0.97922758804548071
normal_sent_cnt,0.9791939550014721
normal_recv_cnt,0.97880606298756812
erc20_total_cnt,0.97457152239340139
normal_total_cnt,0.966561297623933
burst_max_tx_5m,0.96620153527946173
